beam_deflection_mm,beam_height_mm
0,0
0.160304188985067,0.216216216216216
0.320605767870427,0.432432432432432
0.480902127039702,0.648648648648649
0.641190656533448,0.864864864864865
0.801468747023251,1.08108108108108
0.961733790234817,1.2972972972973
1.12198317894797,1.51351351351351
1.28221430699667,1.72972972972973
1.44242456926896,1.94594594594595
1.60261138507595,2.16216216216216
1.76277221339729,2.37837837837838
1.92290443457378,2.59459459459459
2.08300542809944,2.81081081081081
2.2430725786115,3.02702702702703
2.40310327589039,3.24324324324324
2.56309491485974,3.45945945945946
2.72304489558636,3.67567567567568
2.88295062328028,3.89189189189189
3.04280950829471,4.10810810810811
3.20261896612607,4.32432432432432
3.36237641741396,4.54054054054054
3.52207928794121,4.75675675675676
3.6817250086338,4.97297297297297
3.84131101556095,5.18918918918919
4.00083474993505,5.40540540540541
4.16029365811171,5.62162162162162
4.31968519158971,5.83783783783784
4.47900680701106,6.05405405405405
4.63825596616093,6.27027027027027
4.79743013596772,6.48648648648649
4.956526788503,6.7027027027027
5.11554340098157,6.91891891891892
5.27447745576139,7.13513513513514
5.43332644034365,7.35135135135135
5.59208784737272,7.56756756756757
5.75075917463617,7.78378378378378
5.90933792506476,8
6.06782160673246,8.21621621621622
6.22620773285643,8.43243243243243
6.38449382179703,8.64864864864865
6.54267739705782,8.86486486486486
6.70075598728555,9.08108108108108
6.85872712627018,9.2972972972973
7.01658835294485,9.51351351351351
7.1743372113859,9.72972972972973
7.33197125081288,9.94594594594595
7.48948802761631,10.1621621621622
7.64688559808899,10.3783783783784
7.80416186298345,10.5945945945946
7.96131432923169,10.8108108108108
8.11834051615512,11.027027027027
8.27523795546455,11.2432432432432
8.43200419126016,11.4594594594595
8.58863678003155,11.6756756756757
8.74513329065772,11.8918918918919
8.90149130440707,12.1081081081081
9.0577084149374,12.3243243243243
9.21378222829589,12.5405405405405
9.36971036291913,12.7567567567568
9.52549044963313,12.972972972973
9.68112013165327,13.1891891891892
9.83659706458433,13.4054054054054
9.99191891642052,13.6216216216216
10.1470833675454,13.8378378378378
10.302088110732,14.0540540540541
10.4569308511426,14.2702702702703
10.6116093063291,14.4864864864865
10.7661212062327,14.7027027027027
10.9204642931839,14.9189189189189
11.0746363219027,15.1351351351351
11.2286350594984,15.3513513513514
11.3824582854699,15.5675675675676
11.5361037917054,15.7837837837838
11.6895693824824,16
11.8428528744679,16.2162162162162
11.9959520967182,16.4324324324324
12.1488648906792,16.6486486486486
12.301589110186,16.8648648648649
12.4541226214631,17.0810810810811
12.6064633031246,17.2972972972973
12.7586090461739,17.5135135135135
12.9105577540036,17.7297297297297
13.062307342396,17.9459459459459
13.2138557395226,18.1621621621622
13.3652008859443,18.3783783783784
13.5163407346117,18.5945945945946
13.6672732508643,18.8108108108108
13.8179964124314,19.027027027027
13.9685082094315,19.2432432432432
14.1188066443726,19.4594594594595
14.2688897321521,19.6756756756757
14.4187555000567,19.8918918918919
14.5684019877625,20.1081081081081
14.7178272473351,20.3243243243243
14.8670293432295,20.5405405405405
15.0160063522901,20.7567567567568
15.1647563637505,20.972972972973
15.3132774792339,21.1891891891892
15.4615678127529,21.4054054054054
15.6096254907094,21.6216216216216
15.7574486518947,21.8378378378378
15.9050354474897,22.0540540540541
16.0523840410644,22.2702702702703
16.1994926085785,22.4864864864865
16.3463593383808,22.7027027027027
16.4929824312096,22.9189189189189
16.6393601001928,23.1351351351351
16.7854905708475,23.3513513513514
16.9313720810801,23.5675675675676
17.0770028811867,23.7837837837838
17.2223812338526,24
17.3675054141525,24.2162162162162
17.5123737095505,24.4324324324324
17.6569844199002,24.6486486486486
17.8013358574445,24.8648648648649
17.9454263468158,25.0810810810811
18.0892542250357,25.2972972972973
18.2328178415154,25.5135135135135
18.3761155580555,25.7297297297297
18.5191457488458,25.9459459459459
18.6619068004657,26.1621621621622
18.8043971118839,26.3783783783784
18.9466150944585,26.5945945945946
19.088559171937,26.8108108108108
19.2302277804565,27.027027027027
19.3716193685431,27.2432432432432
19.5127323971126,27.4594594594595
19.6535653394702,27.6756756756757
19.7941166813103,27.8918918918919
19.9343849207168,28.1081081081081
20.0743685681632,28.3243243243243
20.214066146512,28.5405405405405
20.3534761910154,28.7567567567568
20.4925972493149,28.972972972973
20.6314278814415,29.1891891891892
20.7699666598153,29.4054054054054
20.9082121692463,29.6216216216216
21.0461630069333,29.8378378378378
21.183817782465,30.0540540540541
21.3211751178193,30.2702702702703
21.4582336473634,30.4864864864865
21.5949920178541,30.7027027027027
21.7314488884374,30.9189189189189
21.8676029306489,31.1351351351351
22.0034528284135,31.3513513513514
22.1389972780455,31.5675675675676
